"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"1",0,8,4,6,8,4,6,8,8,14,16,12,14,4,8,8,4,10,14,12,6,8,4,8,12,8,10,6,6,12,8,4,12,10,4,2,10,8,6
"2",8,0,4,2,4,8,8,6,8,12,6,10,4,6,6,6,6,10,4,4,10,14,8,16,2,6,10,10,6,12,4,12,8,16,8,2,6,8,8
"3",4,4,0,8,8,6,6,8,4,4,6,14,8,4,10,10,6,1e-09,8,4,6,12,12,6,4,6,12,8,8,12,8,2,6,14,8,10,10,8,10
"4",6,2,8,0,4,2,10,12,2,4,16,2,12,12,6,8,6,4,2,10,10,2,12,10,12,4,10,10,10,10,6,8,10,10,6,8,8,6,8
"5",8,4,8,4,0,8,10,10,6,4,8,4,10,2,4,12,12,8,6,6,10,8,14,12,4,12,8,2,6,10,10,10,8,12,2,4,8,2,2
"6",4,8,6,2,8,0,6,6,8,8,10,10,14,6,10,10,8,6,14,10,8,16,14,14,6,10,10,2,2,12,8,12,10,10,2,6,6,6,6
"7",6,8,6,10,10,6,0,10,10,1e-09,6,4,12,12,8,4,8,10,4,8,8,6,4,1e-09,6,12,12,8,8,14,6,4,6,6,4,4,6,4,4
"8",8,6,8,12,10,6,10,0,8,2,10,8,8,4,8,4,6,8,8,8,6,6,8,2,2,12,10,4,8,12,4,2,4,4,4,6,2,4,6
"9",8,8,4,2,6,8,10,8,0,8,16,12,6,6,8,4,10,12,10,6,8,16,12,8,12,6,16,8,10,18,6,6,8,4,6,8,2,2,8
"10",14,12,4,4,4,8,1e-09,2,8,0,8,12,1e-09,6,12,6,6,10,12,8,12,8,10,6,6,10,14,6,8,16,4,8,6,10,4,10,2,4,10
"11",16,6,6,16,8,10,6,10,16,8,0,14,4,6,10,4,4,6,2,8,10,10,14,6,8,6,4,10,10,4,10,4,6,6,12,2,4,2,4
"12",12,10,14,2,4,10,4,8,12,12,14,0,4,12,10,12,10,4,1e-09,4,6,6,12,10,10,12,12,8,8,2,10,8,4,6,10,8,6,4,8
"13",14,4,8,12,10,14,12,8,6,1e-09,4,4,0,8,1e-09,2,8,2,6,10,10,10,8,10,10,10,2,12,10,2,6,8,12,6,8,6,10,8,6
"14",4,6,4,12,2,6,12,4,6,6,6,12,8,0,4,6,8,4,8,4,8,16,6,12,6,1e-09,6,6,6,10,10,10,10,8,6,6,6,4,10
"15",8,6,10,6,4,10,8,8,8,12,10,10,1e-09,4,0,12,8,14,4,4,6,8,6,14,4,10,4,6,12,4,8,12,10,10,6,10,4,2,8
"16",8,6,10,8,12,10,4,4,4,6,4,12,2,6,12,0,12,2,8,10,4,12,16,6,8,12,4,4,10,6,8,6,12,8,6,10,4,2,12
"17",4,6,6,6,12,8,8,6,10,6,4,10,8,8,8,12,0,2,8,6,2,10,4,6,12,12,12,6,6,8,12,6,12,4,6,12,6,4,10
"18",10,10,1e-09,4,8,6,10,8,12,10,6,4,2,4,14,2,2,0,10,4,4,14,4,12,8,8,6,12,10,10,10,10,8,8,4,14,4,2,6
"19",14,4,8,2,6,14,4,8,10,12,2,1e-09,6,8,4,8,8,10,0,8,8,2,16,8,6,16,6,2,14,6,6,6,16,8,4,6,6,8,6
"20",12,4,4,10,6,10,8,8,6,8,8,4,10,4,4,10,6,4,8,0,10,4,6,12,10,14,8,10,14,4,10,10,14,10,6,6,4,6,8
"21",6,10,6,10,10,8,8,6,8,12,10,6,10,8,6,4,2,4,8,10,0,10,10,10,8,10,10,12,10,8,8,8,10,8,10,12,4,2,6
"22",8,14,12,2,8,16,6,6,16,8,10,6,10,16,8,12,10,14,2,4,10,0,4,6,10,14,4,10,16,10,8,8,14,10,6,8,8,4,12
"23",4,8,12,12,14,14,4,8,12,10,14,12,8,6,6,16,4,4,16,6,10,4,0,4,4,12,2,4,14,6,6,6,12,8,4,12,8,12,10
"24",8,16,6,10,12,14,1e-09,2,8,6,6,10,10,12,14,6,6,12,8,12,10,6,4,0,2,8,8,2,12,6,4,10,8,2,4,10,10,8,4
"25",12,2,4,12,4,6,6,2,12,6,8,10,10,6,4,8,12,8,6,10,8,10,4,2,0,12,10,4,16,10,6,4,12,4,6,6,10,6,6
"26",8,6,6,4,12,10,12,12,6,10,6,12,10,1e-09,10,12,12,8,16,14,10,14,12,8,12,0,6,10,14,8,8,8,10,10,6,4,8,6,4
"27",10,10,12,10,8,10,12,10,16,14,4,12,2,6,4,4,12,6,6,8,10,4,2,8,10,6,0,6,10,10,10,10,10,8,8,6,12,4,10
"28",6,10,8,10,2,2,8,4,8,6,10,8,12,6,6,4,6,12,2,10,12,10,4,2,4,10,6,0,14,4,8,10,12,6,14,8,8,6,8
"29",6,6,8,10,6,2,8,8,10,8,10,8,10,6,12,10,6,10,14,14,10,16,14,12,16,14,10,14,0,4,14,8,10,8,12,4,6,4,4
"30",12,12,12,10,10,12,14,12,18,16,4,2,2,10,4,6,8,10,6,4,8,10,6,6,10,8,10,4,4,0,12,6,8,4,6,8,10,6,2
"31",8,4,8,6,10,8,6,4,6,4,10,10,6,10,8,8,12,10,6,10,8,8,6,4,6,8,10,8,14,12,0,8,10,4,10,8,8,2,6
"32",4,12,2,8,10,12,4,2,6,8,4,8,8,10,12,6,6,10,6,10,8,8,6,10,4,8,10,10,8,6,8,0,12,4,8,10,4,10,4
"33",12,8,6,10,8,10,6,4,8,6,6,4,12,10,10,12,12,8,16,14,10,14,12,8,12,10,10,12,10,8,10,12,0,2,4,12,2,6,2
"34",10,16,14,10,12,10,6,4,4,10,6,6,6,8,10,8,4,8,8,10,8,10,8,2,4,10,8,6,8,4,4,4,2,0,4,4,4,4,6
"35",4,8,8,6,2,2,4,4,6,4,12,10,8,6,6,6,6,4,4,6,10,6,4,4,6,6,8,14,12,6,10,8,4,4,0,4,4,4,8
"36",2,2,10,8,4,6,4,6,8,10,2,8,6,6,10,10,12,14,6,6,12,8,12,10,6,4,6,8,4,8,8,10,12,4,4,0,6,2,8
"37",10,6,10,8,8,6,6,2,2,2,4,6,10,6,4,4,6,4,6,4,4,8,8,10,10,8,12,8,6,10,8,4,2,4,4,6,0,4,6
"38",8,8,8,6,2,6,4,4,2,4,2,4,8,4,2,2,4,2,8,6,2,4,12,8,6,6,4,6,4,6,2,10,6,4,4,2,4,0,2
"39",6,8,10,8,2,6,4,6,8,10,4,8,6,10,8,12,10,6,6,8,6,12,10,4,6,4,10,8,4,2,6,4,2,6,8,8,6,2,0
