"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"1",0,165,21051,20979,20907,21074,20574,23747,20979,23303,23675,23819,21218,20502,20867,20702,21146,21051,20646,20907,24291,21690,20867,23747,21146,20646,24291,1226,2426,237,2333,1757,21690,2261,21074,20574,20502,20702,21218,1121,3191,72,1061,956,2498,1922,20979,23675
"2",165,0,21216,21144,21072,21239,20739,23912,21144,23468,23840,23984,21383,20667,20702,20867,21311,21216,20811,21072,24456,21855,20702,23912,21311,20811,24456,1061,2261,72,2498,1922,21855,2426,21239,20739,20667,20867,21383,956,3026,237,1226,1121,2333,1757,21144,23840
"3",21051,21216,0,72,144,5702,5058,8231,72,9565,8303,8159,5558,5130,7129,6964,5630,0,4986,144,11163,8562,7129,8231,5630,4986,11163,21445,22645,21144,22552,21976,8562,22480,5702,5058,5130,6964,5558,21340,23410,20979,21280,21175,22717,22141,72,8303
"4",20979,21144,72,0,72,5630,4986,8159,0,9637,8231,8231,5630,5058,7201,7036,5558,72,5058,72,11091,8490,7201,8159,5558,5058,11091,21517,22717,21072,22624,22048,8490,22552,5630,4986,5058,7036,5630,21412,23482,20907,21352,21247,22789,22213,0,8231
"5",20907,21072,144,72,0,5558,5058,8231,72,9709,8159,8303,5702,4986,7273,7108,5630,144,5130,0,11019,8418,7273,8231,5630,5130,11019,21589,22789,21000,22696,22120,8418,22624,5558,5058,4986,7108,5702,21484,23554,20835,21424,21319,22861,22285,72,8159
"6",21074,21239,5702,5630,5558,0,644,2673,5630,4281,2601,2745,144,572,1845,1680,72,5702,716,5558,5769,3168,1845,2673,72,716,5769,21588,22788,21167,22695,22119,3168,22623,0,644,572,1680,144,21483,23553,21002,21423,21318,22860,22284,5630,2601
"7",20574,20739,5058,4986,5058,644,0,3173,4986,4781,3245,3245,644,72,2345,2180,572,5058,72,5058,6237,3636,2345,3173,572,72,6237,21152,22352,20667,22259,21683,3636,22187,644,0,72,2180,644,21047,23117,20502,20987,20882,22424,21848,4986,3245
"8",23747,23912,8231,8159,8231,2673,3173,0,8159,1608,72,72,2673,3245,4374,4209,2601,8231,3245,8231,3240,5841,4374,0,2601,3245,3240,23907,23751,23840,23658,23046,5841,23586,2673,3173,3245,4209,2673,24012,24516,23675,23742,23847,23823,23211,8159,72
"9",20979,21144,72,0,72,5630,4986,8159,0,9637,8231,8231,5630,5058,7201,7036,5558,72,5058,72,11091,8490,7201,8159,5558,5058,11091,21517,22717,21072,22624,22048,8490,22552,5630,4986,5058,7036,5630,21412,23482,20907,21352,21247,22789,22213,0,8231
"10",23303,23468,9565,9637,9709,4281,4781,1608,9637,0,1680,1536,4137,4853,2766,2601,4209,9565,4709,9709,4848,7449,2766,1608,4209,4709,4848,22479,22323,23396,22230,21618,7449,22158,4281,4781,4853,2601,4137,22584,23088,23231,22314,22419,22395,21783,9637,1680
"11",23675,23840,8303,8231,8159,2601,3245,72,8231,1680,0,144,2745,3173,4446,4281,2673,8303,3317,8159,3168,5769,4446,72,2673,3317,3168,23979,23823,23768,23730,23118,5769,23658,2601,3245,3173,4281,2745,24084,24588,23603,23814,23919,23895,23283,8231,0
"12",23819,23984,8159,8231,8303,2745,3245,72,8231,1536,144,0,2601,3317,4302,4137,2673,8159,3173,8303,3312,5913,4302,72,2673,3173,3312,23835,23679,23912,23586,22974,5913,23514,2745,3245,3317,4137,2601,23940,24444,23747,23670,23775,23751,23139,8231,144
"13",21218,21383,5558,5630,5702,144,644,2673,5630,4137,2745,2601,0,716,1701,1536,72,5558,572,5702,5913,3312,1701,2673,72,572,5913,21444,22644,21311,22551,21975,3312,22479,144,644,716,1536,0,21339,23409,21146,21279,21174,22716,22140,5630,2745
"14",20502,20667,5130,5058,4986,572,72,3245,5058,4853,3173,3317,716,0,2417,2252,644,5130,144,4986,6165,3564,2417,3245,644,144,6165,21224,22424,20595,22331,21755,3564,22259,572,72,0,2252,716,21119,23189,20430,21059,20954,22496,21920,5058,3173
"15",20867,20702,7129,7201,7273,1845,2345,4374,7201,2766,4446,4302,1701,2417,0,165,1773,7129,2273,7273,7614,5013,0,4374,1773,2273,7614,19923,21123,20630,21360,20784,5013,21288,1845,2345,2417,165,1701,19818,21888,20795,20088,19983,21195,20619,7201,4446
"16",20702,20867,6964,7036,7108,1680,2180,4209,7036,2601,4281,4137,1536,2252,165,0,1608,6964,2108,7108,7449,4848,165,4209,1608,2108,7449,20088,21288,20795,21195,20619,4848,21123,1680,2180,2252,0,1536,19983,22053,20630,19923,19818,21360,20784,7036,4281
"17",21146,21311,5630,5558,5630,72,572,2601,5558,4209,2673,2673,72,644,1773,1608,0,5630,644,5630,5841,3240,1773,2601,0,644,5841,21516,22716,21239,22623,22047,3240,22551,72,572,644,1608,72,21411,23481,21074,21351,21246,22788,22212,5558,2673
"18",21051,21216,0,72,144,5702,5058,8231,72,9565,8303,8159,5558,5130,7129,6964,5630,0,4986,144,11163,8562,7129,8231,5630,4986,11163,21445,22645,21144,22552,21976,8562,22480,5702,5058,5130,6964,5558,21340,23410,20979,21280,21175,22717,22141,72,8303
"19",20646,20811,4986,5058,5130,716,72,3245,5058,4709,3317,3173,572,144,2273,2108,644,4986,0,5130,6309,3708,2273,3245,644,0,6309,21080,22280,20739,22187,21611,3708,22115,716,72,144,2108,572,20975,23045,20574,20915,20810,22352,21776,5058,3317
"20",20907,21072,144,72,0,5558,5058,8231,72,9709,8159,8303,5702,4986,7273,7108,5630,144,5130,0,11019,8418,7273,8231,5630,5130,11019,21589,22789,21000,22696,22120,8418,22624,5558,5058,4986,7108,5702,21484,23554,20835,21424,21319,22861,22285,72,8159
"21",24291,24456,11163,11091,11019,5769,6237,3240,11091,4848,3168,3312,5913,6165,7614,7449,5841,11163,6309,11019,0,2601,7614,3240,5841,6309,0,24735,24579,24384,24486,23874,2601,24414,5769,6237,6165,7449,5913,24840,25344,24219,24570,24675,24651,24039,11091,3168
"22",21690,21855,8562,8490,8418,3168,3636,5841,8490,7449,5769,5913,3312,3564,5013,4848,3240,8562,3708,8418,2601,0,5013,5841,3240,3708,2601,22344,23544,21783,23451,22875,0,23379,3168,3636,3564,4848,3312,22239,24309,21618,22179,22074,23616,23040,8490,5769
"23",20867,20702,7129,7201,7273,1845,2345,4374,7201,2766,4446,4302,1701,2417,0,165,1773,7129,2273,7273,7614,5013,0,4374,1773,2273,7614,19923,21123,20630,21360,20784,5013,21288,1845,2345,2417,165,1701,19818,21888,20795,20088,19983,21195,20619,7201,4446
"24",23747,23912,8231,8159,8231,2673,3173,0,8159,1608,72,72,2673,3245,4374,4209,2601,8231,3245,8231,3240,5841,4374,0,2601,3245,3240,23907,23751,23840,23658,23046,5841,23586,2673,3173,3245,4209,2673,24012,24516,23675,23742,23847,23823,23211,8159,72
"25",21146,21311,5630,5558,5630,72,572,2601,5558,4209,2673,2673,72,644,1773,1608,0,5630,644,5630,5841,3240,1773,2601,0,644,5841,21516,22716,21239,22623,22047,3240,22551,72,572,644,1608,72,21411,23481,21074,21351,21246,22788,22212,5558,2673
"26",20646,20811,4986,5058,5130,716,72,3245,5058,4709,3317,3173,572,144,2273,2108,644,4986,0,5130,6309,3708,2273,3245,644,0,6309,21080,22280,20739,22187,21611,3708,22115,716,72,144,2108,572,20975,23045,20574,20915,20810,22352,21776,5058,3317
"27",24291,24456,11163,11091,11019,5769,6237,3240,11091,4848,3168,3312,5913,6165,7614,7449,5841,11163,6309,11019,0,2601,7614,3240,5841,6309,0,24735,24579,24384,24486,23874,2601,24414,5769,6237,6165,7449,5913,24840,25344,24219,24570,24675,24651,24039,11091,3168
"28",1226,1061,21445,21517,21589,21588,21152,23907,21517,22479,23979,23835,21444,21224,19923,20088,21516,21445,21080,21589,24735,22344,19923,23907,21516,21080,24735,0,1236,989,1473,861,22344,1401,21588,21152,21224,20088,21444,105,2001,1154,165,270,1308,696,21517,23979
"29",2426,2261,22645,22717,22789,22788,22352,23751,22717,22323,23823,23679,22644,22424,21123,21288,22716,22645,22280,22789,24579,23544,21123,23751,22716,22280,24579,1236,0,2189,237,705,23544,165,22788,22352,22424,21288,22644,1305,765,2354,1401,1470,72,540,22717,23823
"30",237,72,21144,21072,21000,21167,20667,23840,21072,23396,23768,23912,21311,20595,20630,20795,21239,21144,20739,21000,24384,21783,20630,23840,21239,20739,24384,989,2189,0,2426,1850,21783,2354,21167,20667,20595,20795,21311,884,2954,165,1154,1049,2261,1685,21072,23768
"31",2333,2498,22552,22624,22696,22695,22259,23658,22624,22230,23730,23586,22551,22331,21360,21195,22623,22552,22187,22696,24486,23451,21360,23658,22623,22187,24486,1473,237,2426,0,612,23451,72,22695,22259,22331,21195,22551,1542,870,2261,1308,1377,165,777,22624,23730
"32",1757,1922,21976,22048,22120,22119,21683,23046,22048,21618,23118,22974,21975,21755,20784,20619,22047,21976,21611,22120,23874,22875,20784,23046,22047,21611,23874,861,705,1850,612,0,22875,540,22119,21683,21755,20619,21975,966,1470,1685,696,801,777,165,22048,23118
"33",21690,21855,8562,8490,8418,3168,3636,5841,8490,7449,5769,5913,3312,3564,5013,4848,3240,8562,3708,8418,2601,0,5013,5841,3240,3708,2601,22344,23544,21783,23451,22875,0,23379,3168,3636,3564,4848,3312,22239,24309,21618,22179,22074,23616,23040,8490,5769
"34",2261,2426,22480,22552,22624,22623,22187,23586,22552,22158,23658,23514,22479,22259,21288,21123,22551,22480,22115,22624,24414,23379,21288,23586,22551,22115,24414,1401,165,2354,72,540,23379,0,22623,22187,22259,21123,22479,1470,930,2189,1236,1305,237,705,22552,23658
"35",21074,21239,5702,5630,5558,0,644,2673,5630,4281,2601,2745,144,572,1845,1680,72,5702,716,5558,5769,3168,1845,2673,72,716,5769,21588,22788,21167,22695,22119,3168,22623,0,644,572,1680,144,21483,23553,21002,21423,21318,22860,22284,5630,2601
"36",20574,20739,5058,4986,5058,644,0,3173,4986,4781,3245,3245,644,72,2345,2180,572,5058,72,5058,6237,3636,2345,3173,572,72,6237,21152,22352,20667,22259,21683,3636,22187,644,0,72,2180,644,21047,23117,20502,20987,20882,22424,21848,4986,3245
"37",20502,20667,5130,5058,4986,572,72,3245,5058,4853,3173,3317,716,0,2417,2252,644,5130,144,4986,6165,3564,2417,3245,644,144,6165,21224,22424,20595,22331,21755,3564,22259,572,72,0,2252,716,21119,23189,20430,21059,20954,22496,21920,5058,3173
"38",20702,20867,6964,7036,7108,1680,2180,4209,7036,2601,4281,4137,1536,2252,165,0,1608,6964,2108,7108,7449,4848,165,4209,1608,2108,7449,20088,21288,20795,21195,20619,4848,21123,1680,2180,2252,0,1536,19983,22053,20630,19923,19818,21360,20784,7036,4281
"39",21218,21383,5558,5630,5702,144,644,2673,5630,4137,2745,2601,0,716,1701,1536,72,5558,572,5702,5913,3312,1701,2673,72,572,5913,21444,22644,21311,22551,21975,3312,22479,144,644,716,1536,0,21339,23409,21146,21279,21174,22716,22140,5630,2745
"40",1121,956,21340,21412,21484,21483,21047,24012,21412,22584,24084,23940,21339,21119,19818,19983,21411,21340,20975,21484,24840,22239,19818,24012,21411,20975,24840,105,1305,884,1542,966,22239,1470,21483,21047,21119,19983,21339,0,2070,1049,270,165,1377,801,21412,24084
"41",3191,3026,23410,23482,23554,23553,23117,24516,23482,23088,24588,24444,23409,23189,21888,22053,23481,23410,23045,23554,25344,24309,21888,24516,23481,23045,25344,2001,765,2954,870,1470,24309,930,23553,23117,23189,22053,23409,2070,0,3119,2166,2235,705,1305,23482,24588
"42",72,237,20979,20907,20835,21002,20502,23675,20907,23231,23603,23747,21146,20430,20795,20630,21074,20979,20574,20835,24219,21618,20795,23675,21074,20574,24219,1154,2354,165,2261,1685,21618,2189,21002,20502,20430,20630,21146,1049,3119,0,989,884,2426,1850,20907,23603
"43",1061,1226,21280,21352,21424,21423,20987,23742,21352,22314,23814,23670,21279,21059,20088,19923,21351,21280,20915,21424,24570,22179,20088,23742,21351,20915,24570,165,1401,1154,1308,696,22179,1236,21423,20987,21059,19923,21279,270,2166,989,0,105,1473,861,21352,23814
"44",956,1121,21175,21247,21319,21318,20882,23847,21247,22419,23919,23775,21174,20954,19983,19818,21246,21175,20810,21319,24675,22074,19983,23847,21246,20810,24675,270,1470,1049,1377,801,22074,1305,21318,20882,20954,19818,21174,165,2235,884,105,0,1542,966,21247,23919
"45",2498,2333,22717,22789,22861,22860,22424,23823,22789,22395,23895,23751,22716,22496,21195,21360,22788,22717,22352,22861,24651,23616,21195,23823,22788,22352,24651,1308,72,2261,165,777,23616,237,22860,22424,22496,21360,22716,1377,705,2426,1473,1542,0,612,22789,23895
"46",1922,1757,22141,22213,22285,22284,21848,23211,22213,21783,23283,23139,22140,21920,20619,20784,22212,22141,21776,22285,24039,23040,20619,23211,22212,21776,24039,696,540,1685,777,165,23040,705,22284,21848,21920,20784,22140,801,1305,1850,861,966,612,0,22213,23283
"47",20979,21144,72,0,72,5630,4986,8159,0,9637,8231,8231,5630,5058,7201,7036,5558,72,5058,72,11091,8490,7201,8159,5558,5058,11091,21517,22717,21072,22624,22048,8490,22552,5630,4986,5058,7036,5630,21412,23482,20907,21352,21247,22789,22213,0,8231
"48",23675,23840,8303,8231,8159,2601,3245,72,8231,1680,0,144,2745,3173,4446,4281,2673,8303,3317,8159,3168,5769,4446,72,2673,3317,3168,23979,23823,23768,23730,23118,5769,23658,2601,3245,3173,4281,2745,24084,24588,23603,23814,23919,23895,23283,8231,0
